,Feature,Noise Std Dev,Accuracy,Feature Importance
0,Elevation,0.0,0.73568,0.3309823200594358
1,Elevation,0.125,0.72624,0.3309823200594358
2,Elevation,0.25,0.71664,0.3309823200594358
3,Elevation,0.375,0.6993600000000001,0.3309823200594358
4,Elevation,0.5,0.6820799999999999,0.3309823200594358
5,Elevation,0.625,0.6713600000000001,0.3309823200594358
6,Elevation,0.75,0.6665599999999999,0.3309823200594358
7,Elevation,0.875,0.65264,0.3309823200594358
8,Elevation,1.0,0.64064,0.3309823200594358
9,Elevation,1.125,0.63024,0.3309823200594358
10,Elevation,1.25,0.61952,0.3309823200594358
11,Elevation,1.375,0.60992,0.3309823200594358
12,Elevation,1.5,0.60656,0.3309823200594358
13,Elevation,1.625,0.6097599999999999,0.3309823200594358
14,Elevation,1.75,0.60512,0.3309823200594358
15,Elevation,1.875,0.60144,0.3309823200594358
16,Elevation,2.0,0.5987199999999999,0.3309823200594358
17,Elevation,2.125,0.5988800000000001,0.3309823200594358
18,Elevation,2.25,0.5904,0.3309823200594358
19,Elevation,2.375,0.59296,0.3309823200594358
20,Elevation,2.5,0.5977600000000001,0.3309823200594358
